Graph_y
Time (Seconds),y (Meters),y_dot (Meters/Seconds)
216.050003,-0.657342,0.000541
216.100006,-0.657360,-0.000356
216.150009,-0.657369,-0.000187
216.199997,-0.657372,-0.000056
216.250000,-0.657368,0.000080
216.300003,-0.657368,0.000011
216.350006,-0.657369,-0.000030
216.400009,-0.657373,-0.000079
216.449997,-0.657374,-0.000023
216.500000,-0.657372,0.000048
216.550003,-0.657364,0.000151
216.600006,-0.657366,-0.000041
216.650009,-0.657375,-0.000179
216.699997,-0.657329,0.000916
216.750000,-0.657341,-0.000223
216.800003,-0.657357,-0.000331
216.850006,-0.657356,0.000019
216.900009,-0.657341,0.000294
216.949997,-0.657349,-0.000155
217.000000,-0.657352,-0.000057
217.050003,-0.657353,-0.000025
217.100006,-0.657355,-0.000031
217.150009,-0.657349,0.000111
217.199997,-0.657355,-0.000111
217.250000,-0.657356,-0.000030
217.300003,-0.657348,0.000173
217.350006,-0.657356,-0.000163
217.400009,-0.657355,0.000017
217.449997,-0.657357,-0.000030
217.500000,-0.657356,0.000014
217.550003,-0.657361,-0.000106
217.600006,-0.657355,0.000120
217.650009,-0.657371,-0.000324
217.699997,-0.657339,0.000654
217.750000,-0.657311,0.000554
217.800003,-0.657322,-0.000216
217.850006,-0.657332,-0.000209
217.900009,-0.657952,-0.012408
217.949997,-0.659975,-0.040447
218.000000,-0.663147,-0.063438
218.050003,-0.666874,-0.074550
218.100006,-0.670921,-0.080936
218.150009,-0.675305,-0.087677
218.199997,-0.680018,-0.094254
218.250000,-0.685028,-0.100207
218.300003,-0.690259,-0.104623
218.350006,-0.695683,-0.108476
218.400009,-0.701222,-0.110786
218.449997,-0.706881,-0.113167
218.500000,-0.712788,-0.118158
218.550003,-0.718926,-0.122758
218.600006,-0.725260,-0.126674
218.650009,-0.731671,-0.128219
218.699997,-0.738049,-0.127561
218.750000,-0.744296,-0.124947
218.800003,-0.750289,-0.119845
218.850006,-0.755864,-0.111502
218.900009,-0.760897,-0.100669
218.949997,-0.765289,-0.087837
219.000000,-0.768950,-0.073228
219.050003,-0.771810,-0.057200
219.100006,-0.773775,-0.039295
219.150009,-0.774723,-0.018955
219.199997,-0.774646,0.001547
219.250000,-0.773464,0.023640
219.300003,-0.771090,0.047476
219.350006,-0.767518,0.071440
219.400009,-0.762681,0.096728
219.449997,-0.756574,0.122151
